year,community_area,sex,age
2024,AUBURN GRESHAM,M,20-29
2024,WEST RIDGE,M,20-29
2024,AUBURN GRESHAM,M,30-39
2024,AUSTIN,M,20-29
2024,AUSTIN,F,40-49
2024,GREATER GRAND CROSSING,M,30-39
2024,AUSTIN,M,40-49
2024,NORTH LAWNDALE,M,40-49
2024,ROSELAND,F,20-29
2024,GREATER GRAND CROSSING,M,30-39
2024,SOUTH LAWNDALE,F,20-29
2024,DUNNING,M,20-29
2024,CHATHAM,F,30-39
2024,MORGAN PARK,M,0-19
2024,EAST GARFIELD PARK,F,20-29
2024,EAST GARFIELD PARK,F,20-29
2024,EAST GARFIELD PARK,F,20-29
2024,AUBURN GRESHAM,M,20-29
2024,EAST GARFIELD PARK,F,30-39
2024,HUMBOLDT PARK,M,30-39
2024,AUSTIN,F,20-29
2024,ROGERS PARK,M,0-19
2024,EAST GARFIELD PARK,M,20-29
2024,GRAND BOULEVARD,M,0-19
2024,WEST ENGLEWOOD,F,20-29
2024,WEST GARFIELD PARK,M,30-39
2024,AUBURN GRESHAM,M,20-29
2024,AUBURN GRESHAM,F,20-29
2024,WASHINGTON PARK,M,40-49
2024,EAST GARFIELD PARK,M,20-29
2024,ASHBURN,M,0-19
2024,NEAR WEST SIDE,M,30-39
2024,BELMONT CRAGIN,M,20-29
2024,EAST GARFIELD PARK,M,40-49
2024,EAST GARFIELD PARK,M,20-29
2024,EAST GARFIELD PARK,M,30-39
2024,AUSTIN,M,30-39
2024,NEAR WEST SIDE,M,30-39
2024,WEST TOWN,M,20-29
2024,CHICAGO LAWN,M,UNKNOWN
2024,WEST PULLMAN,F,30-39
2024,AUBURN GRESHAM,M,20-29
2024,AUBURN GRESHAM,M,20-29
2024,CHICAGO LAWN,M,80+
2024,ASHBURN,M,50-59
2024,ASHBURN,M,50-59
2024,WEST PULLMAN,M,20-29
2024,WEST PULLMAN,M,0-19
2024,SOUTH DEERING,M,20-29
2024,SOUTH CHICAGO,M,30-39
2024,CHATHAM,M,0-19
2024,AUSTIN,M,30-39
2024,WEST ENGLEWOOD,M,20-29
2024,CALUMET HEIGHTS,M,30-39
2024,ROGERS PARK,M,20-29
2024,CHATHAM,M,20-29
2024,ROGERS PARK,M,40-49
2024,SOUTH SHORE,M,20-29
2024,NEAR NORTH SIDE,M,30-39
2024,WEST TOWN,M,30-39
2024,BRIDGEPORT,M,20-29
2024,NORTH LAWNDALE,M,20-29
2024,NEW CITY,M,20-29
2024,NEW CITY,M,0-19
2024,NEW CITY,M,20-29
2024,WEST GARFIELD PARK,F,20-29
2024,PULLMAN,M,30-39
2024,AUBURN GRESHAM,M,20-29
2024,AUSTIN,M,20-29
2024,WEST TOWN,M,30-39
2024,GREATER GRAND CROSSING,M,40-49
2024,LOGAN SQUARE,M,20-29
2024,NEAR NORTH SIDE,M,20-29
2024,NEAR SOUTH SIDE,M,20-29
2024,BELMONT CRAGIN,M,20-29
2024,GREATER GRAND CROSSING,M,0-19
2024,BRIGHTON PARK,F,20-29
2024,ROSELAND,M,30-39
2024,NORTH CENTER,M,0-19
2024,HUMBOLDT PARK,M,50-59
2024,SOUTH SHORE,M,20-29
2024,DOUGLAS,M,30-39
2024,SOUTH SHORE,M,20-29
2024,DOUGLAS,M,0-19
2024,GRAND BOULEVARD,M,30-39
2024,WASHINGTON PARK,M,20-29
2024,SOUTH LAWNDALE,M,30-39
2024,WEST ENGLEWOOD,M,30-39
2024,NORTH LAWNDALE,M,20-29
2024,NORTH LAWNDALE,M,20-29
2024,SOUTH LAWNDALE,M,30-39
2024,AUSTIN,F,20-29
2024,AUSTIN,M,60-69
2024,WEST ENGLEWOOD,M,30-39
2024,EDGEWATER,F,30-39
2024,GREATER GRAND CROSSING,M,0-19
2024,UPTOWN,M,30-39
2024,CHATHAM,F,40-49
2024,NORTH LAWNDALE,M,0-19
2024,SOUTH LAWNDALE,M,40-49
2024,UPTOWN,M,50-59
2024,AUBURN GRESHAM,M,0-19
2024,CHICAGO LAWN,M,30-39
2024,HUMBOLDT PARK,F,0-19
2024,CHICAGO LAWN,M,20-29
2024,AUBURN GRESHAM,M,0-19
2024,AUSTIN,UNKNOWN,50-59
2024,EAST SIDE,M,20-29
2024,WASHINGTON PARK,M,30-39
2024,AUBURN GRESHAM,M,0-19
2024,SOUTH SHORE,F,0-19
2024,SOUTH SHORE,M,20-29
2024,BRIGHTON PARK,M,20-29
2024,GREATER GRAND CROSSING,M,20-29
2024,EAST GARFIELD PARK,M,50-59
2024,MORGAN PARK,F,30-39
2024,MORGAN PARK,M,20-29
2024,MORGAN PARK,F,20-29
2024,GREATER GRAND CROSSING,M,50-59
2024,ROSELAND,M,20-29
2024,ROSELAND,M,20-29
2024,ROSELAND,M,20-29
2024,NEAR WEST SIDE,M,30-39
2024,CHATHAM,M,30-39
2024,NEW CITY,M,20-29
2024,EAST GARFIELD PARK,UNKNOWN,UNKNOWN
2024,ARMOUR SQUARE,F,20-29
2024,WASHINGTON PARK,M,20-29
2024,HUMBOLDT PARK,M,20-29
2024,ENGLEWOOD,M,30-39
2024,AUSTIN,M,20-29
2024,AUSTIN,M,20-29
2024,AUSTIN,M,20-29
2024,NORTH LAWNDALE,M,20-29
2024,WEST TOWN,M,30-39
2024,SOUTH LAWNDALE,M,0-19
2024,SOUTH LAWNDALE,F,20-29
2024,AUSTIN,M,40-49
2024,WEST LAWN,M,20-29
2024,WEST LAWN,M,20-29
2024,GREATER GRAND CROSSING,M,50-59
2024,HUMBOLDT PARK,M,20-29
2024,HUMBOLDT PARK,M,30-39
2024,HUMBOLDT PARK,M,30-39
2024,NORTH LAWNDALE,F,30-39
2024,HERMOSA,M,0-19
2024,EAST SIDE,F,0-19
2024,EAST GARFIELD PARK,M,30-39
2024,CHICAGO LAWN,M,20-29
2024,LINCOLN SQUARE,M,40-49
2024,AUBURN GRESHAM,M,20-29
2024,WEST ENGLEWOOD,M,30-39
2024,BELMONT CRAGIN,M,0-19
2024,BELMONT CRAGIN,M,0-19
2024,SOUTH SHORE,F,40-49
2024,SOUTH SHORE,M,20-29
2024,SOUTH SHORE,M,20-29
2024,LAKE VIEW,M,20-29
2024,AUSTIN,M,30-39
2024,SOUTH SHORE,UNKNOWN,UNKNOWN
2024,SOUTH DEERING,M,20-29
2024,WASHINGTON HEIGHTS,M,30-39
2024,WOODLAWN,UNKNOWN,UNKNOWN
2024,IRVING PARK,M,20-29
2024,IRVING PARK,M,20-29
2024,IRVING PARK,M,20-29
2024,IRVING PARK,M,20-29
2024,GREATER GRAND CROSSING,M,50-59
2024,NORTH LAWNDALE,M,20-29
2024,HUMBOLDT PARK,M,20-29
2024,GREATER GRAND CROSSING,M,20-29
2024,GREATER GRAND CROSSING,M,20-29
2024,ENGLEWOOD,M,40-49
2024,NEW CITY,F,40-49
2024,DOUGLAS,F,40-49
2024,GREATER GRAND CROSSING,M,30-39
2024,NEAR WEST SIDE,M,0-19
2024,NEAR WEST SIDE,M,0-19
2024,NEW CITY,M,40-49
2024,SOUTH SHORE,M,20-29
2024,WEST GARFIELD PARK,M,20-29
2024,WOODLAWN,M,0-19
2024,SOUTH SHORE,M,50-59
2024,GREATER GRAND CROSSING,F,30-39
2024,WOODLAWN,M,50-59
